0 |msg 0 |len 0 |desc? False | ' / '
68 |msg 144 |len 19 |desc? False | 'Penance Breastplate / '
69 |msg 145 |len 19 |desc? False | 'Fallen Warrior Mail / '
70 |msg 146 |len 19 |desc? False | 'Heretic Breastplate / '
71 |msg 147 |len 10 |desc? False | 'Plate Mail / '
72 |msg 148 |len 13 |desc? False | 'Quality Armor / '
73 |msg 149 |len 12 |desc? False | 'Master Armor / '
74 |msg 150 |len 17 |desc? False | 'Dark Silver Armor / '
75 |msg 151 |len 11 |desc? False | 'Knight Mail / '
76 |msg 152 |len 11 |desc? False | 'Sigil Armor / '
77 |msg 153 |len 13 |desc? False | 'Neutral Armor / '
78 |msg 154 |len 18 |desc? False | 'Divine Great Armor / '
79 |msg 155 |len 13 |desc? False | 'Supreme Armor / '
80 |msg 156 |len 10 |desc? False | 'Evil Armor / '
81 |msg 157 |len 18 |desc? False | 'Holy Soldier Armor / '
82 |msg 158 |len 10 |desc? False | 'Worn Armor / '
83 |msg 159 |len 15 |desc? False | 'Crumbling Armor / '
84 |msg 160 |len 11 |desc? False | 'Demon Armor / '
85 |msg 161 |len 16 |desc? False | 'Demon King Armor / '
86 |msg 162 |len 4 |desc? False | 'Helm / '
87 |msg 163 |len 9 |desc? False | 'Iron Helm / '
88 |msg 164 |len 12 |desc? False | 'Stealth Helm / '
89 |msg 165 |len 13 |desc? False | 'Teleport Helm / '
90 |msg 166 |len 12 |desc? False | 'Crystal Helm / '
91 |msg 167 |len 9 |desc? False | 'Dark Mask / '
92 |msg 168 |len 12 |desc? False | 'Warrior Helm / '
93 |msg 169 |len 9 |desc? False | 'Evil Helm / '
94 |msg 170 |len 17 |desc? False | 'Holy Soldier Helm / '
95 |msg 171 |len 15 |desc? False | 'Whispering Helm / '
96 |msg 172 |len 11 |desc? False | 'Cursed Helm / '
97 |msg 173 |len 15 |desc? False | 'Demon King Helm / '
98 |msg 174 |len 12 |desc? False | 'Small Shield / '
99 |msg 175 |len 12 |desc? False | 'Iron Buckler / '
100 |msg 176 |len 13 |desc? False | 'Magus Buckler / '
101 |msg 177 |len 16 |desc? False | 'Talisman Buckler / '
102 |msg 178 |len 12 |desc? False | 'Dwarf Shield / '
103 |msg 179 |len 14 |desc? False | 'Neutral Shield / '
104 |msg 180 |len 12 |desc? False | 'Gnome Shield / '
105 |msg 181 |len 14 |desc? False | 'Spirit Buckler / '
106 |msg 182 |len 14 |desc? False | 'Malice Buckler / '
107 |msg 183 |len 14 |desc? False | 'Divine Buckler / '
108 |msg 184 |len 6 |desc? False | 'Shield / '
109 |msg 185 |len 12 |desc? False | 'Tower Shield / '
110 |msg 186 |len 13 |desc? False | 'Silver Shield / '
111 |msg 187 |len 14 |desc? False | 'Support Shield / '
112 |msg 188 |len 13 |desc? False | 'Dragon Shield / '
113 |msg 189 |len 14 |desc? False | 'Supreme Shield / '
114 |msg 190 |len 11 |desc? False | 'Evil Shield / '
115 |msg 191 |len 19 |desc? False | 'Holy Soldier Shield / '
116 |msg 192 |len 18 |desc? False | 'Useless Orc Shield / '
117 |msg 193 |len 13 |desc? False | 'Warped Shield / '
118 |msg 194 |len 14 |desc? False | 'Heretic Shield / '
119 |msg 195 |len 17 |desc? False | 'Demon King Shield / '
120 |msg 196 |len 9 |desc? False | 'Gauntlets / '
121 |msg 197 |len 14 |desc? False | 'Iron Gauntlets / '
122 |msg 198 |len 16 |desc? False | 'Silver Gauntlets / '
123 |msg 199 |len 15 |desc? False | 'Magic Gauntlets / '
124 |msg 200 |len 15 |desc? False | 'Power Gauntlets / '
125 |msg 201 |len 15 |desc? False | 'Angel Gauntlets / '
126 |msg 202 |len 14 |desc? False | 'Evil Gauntlets / '
127 |msg 203 |len 22 |desc? False | 'Holy Soldier Gauntlets / '
128 |msg 204 |len 14 |desc? False | 'Worn Gauntlets / '
129 |msg 205 |len 16 |desc? False | 'Wicked Gauntlets / '
130 |msg 206 |len 20 |desc? False | 'Demon King Gauntlets / '
131 |msg 207 |len 16 |desc? False | 'Eligor Body Chip / '
132 |msg 208 |len 16 |desc? False | 'Marbas Body Chip / '
133 |msg 209 |len 16 |desc? False | 'Agares Body Chip / '
134 |msg 210 |len 16 |desc? False | 'Beleth Body Chip / '
135 |msg 211 |len 15 |desc? False | 'Botis Body Chip / '
136 |msg 212 |len 15 |desc? False | 'Zepar Body Chip / '
137 |msg 213 |len 16 |desc? False | 'Orobas Body Chip / '
138 |msg 214 |len 16 |desc? False | 'Andras Body Chip / '
139 |msg 215 |len 16 |desc? False | 'Cimejes Arm Chip / '
140 |msg 216 |len 16 |desc? False | 'Sabnock Arm Chip / '
141 |msg 217 |len 13 |desc? False | 'Bune Arm Chip / '
142 |msg 218 |len 14 |desc? False | 'Orias Arm Chip / '
143 |msg 219 |len 13 |desc? False | 'Caim Arm Chip / '
144 |msg 220 |len 17 |desc? False | 'Barbatos Arm Chip / '
145 |msg 221 |len 16 |desc? False | 'Focalor Arm Chip / '
146 |msg 222 |len 13 |desc? False | 'Amon Arm Chip / '
147 |msg 223 |len 15 |desc? False | 'Ipos Brain Chip / '
148 |msg 224 |len 15 |desc? False | 'Gaap Brain Chip / '
149 |msg 225 |len 17 |desc? False | 'Leraje Brain Chip / '
150 |msg 226 |len 15 |desc? False | 'Raum Brain Chip / '
151 |msg 227 |len 16 |desc? False | 'Uvall Brain Chip / '
152 |msg 228 |len 17 |desc? False | 'Murmur Brain Chip / '
153 |msg 360 |len 6 |desc? False | 'Scroll / '
154 |msg 361 |len 6 |desc? False | 'Dagger / '
155 |msg 362 |len 13 |desc? False | 'Master Dagger / '
156 |msg 363 |len 15 |desc? False | 'Assassin Dagger / '
157 |msg 364 |len 16 |desc? False | 'Paralysis Dagger / '
158 |msg 365 |len 13 |desc? False | 'Mystic Dagger / '
159 |msg 366 |len 13 |desc? False | "Thief's Knife / "
160 |msg 367 |len 14 |desc? False | 'Exorcism Knife / '
161 |msg 368 |len 18 |desc? False | 'Useless Orc Dagger / '
162 |msg 369 |len 19 |desc? False | 'Blood-Stained Knife / '
163 |msg 370 |len 13 |desc? False | 'Cursed Dagger / '
164 |msg 371 |len 12 |desc? False | 'Killer Blade / '
165 |msg 372 |len 11 |desc? False | 'Short Sword / '
166 |msg 373 |len 17 |desc? False | 'Magus Short Sword / '
167 |msg 374 |len 19 |desc? False | 'Mithril Short Sword / '
168 |msg 375 |len 18 |desc? False | 'Spirit Short Sword / '
169 |msg 376 |len 19 |desc? False | 'Ancient Short Sword / '
170 |msg 377 |len 11 |desc? False | 'Ninja Blade / '
171 |msg 378 |len 18 |desc? False | 'Arcana Short Sword / '
172 |msg 379 |len 16 |desc? False | 'Evil Short Sword / '
173 |msg 380 |len 20 |desc? False | 'Restless Short Sword / '
174 |msg 381 |len 16 |desc? False | 'Bone Short Sword / '
175 |msg 382 |len 20 |desc? False | 'Unending Short Sword / '
176 |msg 383 |len 10 |desc? False | 'Long Sword / '
177 |msg 384 |len 12 |desc? False | 'Slayer Sword / '
178 |msg 385 |len 12 |desc? False | 'Mighty Sword / '
179 |msg 386 |len 13 |desc? False | 'Crystal Sword / '
180 |msg 387 |len 17 |desc? False | 'Dragon Bone Sword / '
181 |msg 388 |len 19 |desc? False | 'Shrine Priest Sword / '
182 |msg 389 |len 9 |desc? False | 'Excalibur / '
183 |msg 390 |len 14 |desc? False | 'Ethereal Sword / '
184 |msg 391 |len 18 |desc? False | 'Holy Soldier Sword / '
185 |msg 392 |len 12 |desc? False | 'Regret Sword / '
186 |msg 393 |len 18 |desc? False | 'First Memory Sword / '
187 |msg 394 |len 18 |desc? False | 'Death Spirit Sword / '
